Datetime,Open,High,Low,Close,Volume,ticker
2021-04-23 14:00:00+05:30,4695,4705.14990234375,4683.60009765625,4687.60009765625,61792,BAJFINANCE.NS
2021-04-23 14:15:00+05:30,4689.5,4698.64990234375,4660,4662.25,112589,BAJFINANCE.NS
2021-04-23 14:30:00+05:30,4660.5,4669.4501953125,4638,4641,118786,BAJFINANCE.NS
2021-04-23 14:45:00+05:30,4641,4667.89990234375,4640,4656.2001953125,74422,BAJFINANCE.NS
2021-04-23 15:00:00+05:30,4655.7998046875,4688.39990234375,4655.7998046875,4668,108197,BAJFINANCE.NS
2021-04-23 15:15:00+05:30,4667,4669,4652,4667.7998046875,94851,BAJFINANCE.NS
2021-04-26 09:15:00+05:30,4705,4755,4700.10009765625,4737.2001953125,123982,BAJFINANCE.NS
2021-04-26 09:30:00+05:30,4736.39990234375,4795,4736.39990234375,4788.9501953125,312889,BAJFINANCE.NS
2021-04-26 09:45:00+05:30,4789.89990234375,4814,4784.0498046875,4808,275248,BAJFINANCE.NS
2021-04-26 10:00:00+05:30,4806.89990234375,4819.25,4798.0498046875,4800.39990234375,177411,BAJFINANCE.NS
2021-04-26 10:15:00+05:30,4800.39990234375,4828.7001953125,4795.7998046875,4826.64990234375,187670,BAJFINANCE.NS
2021-04-26 10:30:00+05:30,4827.10009765625,4828,4790.64990234375,4793,139226,BAJFINANCE.NS
2021-04-26 10:45:00+05:30,4793,4802.7001953125,4775.39990234375,4783.2001953125,125199,BAJFINANCE.NS
2021-04-26 11:00:00+05:30,4783.60009765625,4803.60009765625,4779.5498046875,4788,83757,BAJFINANCE.NS
2021-04-26 11:15:00+05:30,4788,4788,4762.5498046875,4766.4501953125,114696,BAJFINANCE.NS
2021-04-26 11:30:00+05:30,4766.4501953125,4777.89990234375,4754.7001953125,4766.89990234375,105592,BAJFINANCE.NS
2021-04-26 11:45:00+05:30,4766.35009765625,4769.7998046875,4762.89990234375,4766.75,40780,BAJFINANCE.NS
2021-04-26 12:00:00+05:30,4766.75,4779.9501953125,4763.25,4778.35009765625,61247,BAJFINANCE.NS
2021-04-26 12:15:00+05:30,4776.9501953125,4780,4757.2001953125,4763,66543,BAJFINANCE.NS
2021-04-26 12:30:00+05:30,4762.7998046875,4763,4750,4756.5,80775,BAJFINANCE.NS
2021-04-26 12:45:00+05:30,4756.5,4773.9501953125,4756.5,4769.5,58068,BAJFINANCE.NS
2021-04-26 13:00:00+05:30,4770,4771.64990234375,4752.39990234375,4759,56485,BAJFINANCE.NS
2021-04-26 13:15:00+05:30,4759,4762,4736,4747.89990234375,121414,BAJFINANCE.NS
2021-04-26 13:30:00+05:30,4747,4748,4722.0498046875,4733.89990234375,103359,BAJFINANCE.NS
2021-04-26 13:45:00+05:30,4733.9501953125,4750.0498046875,4725.7998046875,4743.14990234375,71097,BAJFINANCE.NS
2021-04-26 14:00:00+05:30,4743.14990234375,4758.14990234375,4737.0498046875,4756,67389,BAJFINANCE.NS
2021-04-26 14:15:00+05:30,4754.5,4757,4727.10009765625,4733,69975,BAJFINANCE.NS
2021-04-26 14:30:00+05:30,4733,4738.7998046875,4725,4734.5498046875,64061,BAJFINANCE.NS
2021-04-26 14:45:00+05:30,4735,4749.2001953125,4730,4730,62089,BAJFINANCE.NS
2021-04-26 15:00:00+05:30,4731.7001953125,4744,4730,4732.14990234375,87576,BAJFINANCE.NS
2021-04-26 15:15:00+05:30,4734.2001953125,4745.89990234375,4728.5,4744,126414,BAJFINANCE.NS
2021-04-27 09:15:00+05:30,4764,4804.7998046875,4748.39990234375,4788.2998046875,148565,BAJFINANCE.NS
2021-04-27 09:30:00+05:30,4789.7998046875,4791,4775,4781.89990234375,93489,BAJFINANCE.NS
2021-04-27 09:45:00+05:30,4781.39990234375,4799,4779,4791,66666,BAJFINANCE.NS
2021-04-27 10:00:00+05:30,4790,4799,4781,4784.64990234375,55557,BAJFINANCE.NS
2021-04-27 10:15:00+05:30,4784.7998046875,4789,4765.10009765625,4788.14990234375,101771,BAJFINANCE.NS
2021-04-27 10:30:00+05:30,4787.25,4795.89990234375,4777,4790,53976,BAJFINANCE.NS
2021-04-27 10:45:00+05:30,4789.9501953125,4814.7001953125,4787.39990234375,4813.35009765625,118265,BAJFINANCE.NS
2021-04-27 11:00:00+05:30,4814,4824.9501953125,4805,4819.2001953125,121839,BAJFINANCE.NS
2021-04-27 11:15:00+05:30,4820.9501953125,4820.9501953125,4801,4814,73235,BAJFINANCE.NS
2021-04-27 11:30:00+05:30,4813.9501953125,4824,4810,4824,53413,BAJFINANCE.NS
2021-04-27 11:45:00+05:30,4824,4830,4816.5,4822,92958,BAJFINANCE.NS
2021-04-27 12:00:00+05:30,4822,4824,4811,4818,51207,BAJFINANCE.NS
2021-04-27 12:15:00+05:30,4818,4836.75,4815,4821.7001953125,83141,BAJFINANCE.NS
2021-04-27 12:30:00+05:30,4820.10009765625,4825,4815,4822,33489,BAJFINANCE.NS
2021-04-27 12:45:00+05:30,4824,4825,4802.0498046875,4809.5,62560,BAJFINANCE.NS
2021-04-27 13:00:00+05:30,4809.9501953125,4814.7998046875,4800.0498046875,4808.39990234375,71984,BAJFINANCE.NS
2021-04-27 13:15:00+05:30,4808.39990234375,4810,4783.2001953125,4785,73843,BAJFINANCE.NS
2021-04-27 13:30:00+05:30,4786.25,4799.4501953125,4785,4797.2001953125,65471,BAJFINANCE.NS
2021-04-27 13:45:00+05:30,4797.89990234375,4812,4796.14990234375,4812,65578,BAJFINANCE.NS
2021-04-27 14:00:00+05:30,4812,4819,4805,4810,59345,BAJFINANCE.NS
2021-04-27 14:15:00+05:30,4811,4812,4794.7001953125,4810.7998046875,57785,BAJFINANCE.NS
2021-04-27 14:30:00+05:30,4811.10009765625,4826.5,4806.39990234375,4819,109502,BAJFINANCE.NS
2021-04-27 14:45:00+05:30,4820,4828,4813.5,4825,130839,BAJFINANCE.NS
2021-04-27 15:00:00+05:30,4825,4879,4822.0498046875,4879,344245,BAJFINANCE.NS
2021-04-27 15:15:00+05:30,4877.25,4888.9501953125,4860.10009765625,4885,308695,BAJFINANCE.NS
2021-04-28 09:15:00+05:30,4924,5035,4924,5026,567755,BAJFINANCE.NS
2021-04-28 09:30:00+05:30,5026.14990234375,5035,4973,4984.25,434622,BAJFINANCE.NS
2021-04-28 09:45:00+05:30,4983.5498046875,5012.9501953125,4982.39990234375,5001.9501953125,197164,BAJFINANCE.NS
2021-04-28 10:00:00+05:30,5000.0498046875,5024.9501953125,4991.0498046875,5018,161629,BAJFINANCE.NS
2021-04-28 10:15:00+05:30,5021.9501953125,5053.2001953125,5020.64990234375,5029.7998046875,395424,BAJFINANCE.NS
2021-04-28 10:30:00+05:30,5029.75,5050,5025,5047.9501953125,132616,BAJFINANCE.NS
2021-04-28 10:45:00+05:30,5045.75,5069.75,5045.75,5066.5,248185,BAJFINANCE.NS
2021-04-28 11:00:00+05:30,5066,5127.35009765625,5066,5119.2001953125,564518,BAJFINANCE.NS
2021-04-28 11:15:00+05:30,5119.25,5156.9501953125,5110.35009765625,5155,396929,BAJFINANCE.NS
2021-04-28 11:30:00+05:30,5154.64990234375,5205.9501953125,5154.64990234375,5185.85009765625,725002,BAJFINANCE.NS
2021-04-28 11:45:00+05:30,5185.0498046875,5215,5183.0498046875,5196.7998046875,333172,BAJFINANCE.NS
2021-04-28 12:00:00+05:30,5196,5222.9501953125,5179.2001953125,5218.7998046875,332390,BAJFINANCE.NS
2021-04-28 12:15:00+05:30,5218.9501953125,5219.60009765625,5191.60009765625,5206,216657,BAJFINANCE.NS
2021-04-28 12:30:00+05:30,5205,5206,5191,5198.7998046875,115830,BAJFINANCE.NS
2021-04-28 12:45:00+05:30,5199,5224.4501953125,5196.5,5218,239000,BAJFINANCE.NS
2021-04-28 13:00:00+05:30,5217,5218,5202,5214.7998046875,115436,BAJFINANCE.NS
2021-04-28 13:15:00+05:30,5215,5253.89990234375,5206.7998046875,5249,401051,BAJFINANCE.NS
2021-04-28 13:30:00+05:30,5248.9501953125,5308.39990234375,5246.7998046875,5281.64990234375,679257,BAJFINANCE.NS
2021-04-28 13:45:00+05:30,5282,5288,5255.9501953125,5280,257352,BAJFINANCE.NS
2021-04-28 14:00:00+05:30,5278.2001953125,5280,5252,5260.7001953125,175108,BAJFINANCE.NS
2021-04-28 14:15:00+05:30,5258,5273.35009765625,5243.35009765625,5245.10009765625,164322,BAJFINANCE.NS
2021-04-28 14:30:00+05:30,5246.2001953125,5253,5236.10009765625,5245,180448,BAJFINANCE.NS
2021-04-28 14:45:00+05:30,5243.64990234375,5287.75,5242,5275.14990234375,272833,BAJFINANCE.NS
2021-04-28 15:00:00+05:30,5276.85009765625,5300,5265.5,5290.25,406719,BAJFINANCE.NS
2021-04-28 15:15:00+05:30,5288.4501953125,5300,5252,5255,445385,BAJFINANCE.NS
2021-04-29 09:15:00+05:30,5355.5498046875,5395,5338.7001953125,5370.60009765625,330284,BAJFINANCE.NS
2021-04-29 09:30:00+05:30,5370.2998046875,5498.7001953125,5365,5475,938687,BAJFINANCE.NS
2021-04-29 09:45:00+05:30,5475,5507.89990234375,5380.85009765625,5402,913456,BAJFINANCE.NS
2021-04-29 10:00:00+05:30,5404.60009765625,5435,5386.9501953125,5399,395976,BAJFINANCE.NS
2021-04-29 10:15:00+05:30,5399,5400,5365,5377.75,292853,BAJFINANCE.NS
2021-04-29 10:30:00+05:30,5377.75,5403,5353.60009765625,5371.75,317421,BAJFINANCE.NS
2021-04-29 10:45:00+05:30,5370,5390,5359.60009765625,5381.5498046875,207718,BAJFINANCE.NS
2021-04-29 11:00:00+05:30,5381.7001953125,5414.35009765625,5375.60009765625,5411.85009765625,151820,BAJFINANCE.NS
2021-04-29 11:15:00+05:30,5410.2001953125,5456.0498046875,5400,5437.5498046875,323801,BAJFINANCE.NS
2021-04-29 11:30:00+05:30,5437.2001953125,5439,5421,5439,141253,BAJFINANCE.NS
2021-04-29 11:45:00+05:30,5439,5455,5424.64990234375,5428,173643,BAJFINANCE.NS
2021-04-29 12:00:00+05:30,5425,5448,5422.0498046875,5440.39990234375,96096,BAJFINANCE.NS
2021-04-29 12:15:00+05:30,5441.7001953125,5449.89990234375,5434,5445.0498046875,72412,BAJFINANCE.NS
2021-04-29 12:30:00+05:30,5445.9501953125,5447.25,5435,5445,54231,BAJFINANCE.NS
2021-04-29 12:45:00+05:30,5450,5470,5448.5,5465,196229,BAJFINANCE.NS
2021-04-29 13:00:00+05:30,5465,5500,5465,5481.2001953125,330400,BAJFINANCE.NS
2021-04-29 13:15:00+05:30,5481.85009765625,5518.9501953125,5480.25,5505.64990234375,320008,BAJFINANCE.NS
2021-04-29 13:30:00+05:30,5505,5525,5502.7001953125,5517.89990234375,224248,BAJFINANCE.NS
2021-04-29 13:45:00+05:30,5516.39990234375,5516.89990234375,5475,5475.64990234375,240289,BAJFINANCE.NS
2021-04-29 14:00:00+05:30,5475,5505,5466.5498046875,5503.2998046875,196012,BAJFINANCE.NS
2021-04-29 14:15:00+05:30,5501.14990234375,5509,5493.60009765625,5506,120404,BAJFINANCE.NS
2021-04-29 14:30:00+05:30,5506.75,5510,5496.39990234375,5498.5498046875,130062,BAJFINANCE.NS
2021-04-29 14:45:00+05:30,5498.64990234375,5508,5480,5484.7001953125,126516,BAJFINANCE.NS
2021-04-29 15:00:00+05:30,5484.7001953125,5497.5498046875,5475.0498046875,5482,232232,BAJFINANCE.NS
2021-04-29 15:15:00+05:30,5482.60009765625,5493.0498046875,5475,5475,268829,BAJFINANCE.NS
2021-04-30 09:15:00+05:30,5356,5437,5330.0498046875,5423,205639,BAJFINANCE.NS
2021-04-30 09:30:00+05:30,5420.39990234375,5487.0498046875,5420.39990234375,5460,323290,BAJFINANCE.NS
2021-04-30 09:45:00+05:30,5463,5477.5,5439,5440.60009765625,162847,BAJFINANCE.NS
2021-04-30 10:00:00+05:30,5440.60009765625,5444.9501953125,5406.39990234375,5441,204714,BAJFINANCE.NS
2021-04-30 10:15:00+05:30,5441.10009765625,5449.9501953125,5418,5426,102917,BAJFINANCE.NS
2021-04-30 10:30:00+05:30,5427,5430.5,5387.75,5408,196081,BAJFINANCE.NS
2021-04-30 10:45:00+05:30,5408,5429.39990234375,5407.2001953125,5425.89990234375,70680,BAJFINANCE.NS
2021-04-30 11:00:00+05:30,5425,5430,5410,5428,61058,BAJFINANCE.NS
2021-04-30 11:15:00+05:30,5428,5445,5422.7001953125,5428.25,102067,BAJFINANCE.NS
2021-04-30 11:30:00+05:30,5430,5443.5,5422.9501953125,5433,55053,BAJFINANCE.NS
2021-04-30 11:45:00+05:30,5433,5443.60009765625,5430,5439,49379,BAJFINANCE.NS
2021-04-30 12:00:00+05:30,5439,5474,5438.2001953125,5466.60009765625,157359,BAJFINANCE.NS
2021-04-30 12:15:00+05:30,5467.10009765625,5524,5466.5,5515,370101,BAJFINANCE.NS
2021-04-30 12:30:00+05:30,5516.60009765625,5521,5491.89990234375,5510,155951,BAJFINANCE.NS
2021-04-30 12:45:00+05:30,5510,5515,5482.2001953125,5495,91978,BAJFINANCE.NS
2021-04-30 13:00:00+05:30,5495.89990234375,5498.7001953125,5472,5476.25,116140,BAJFINANCE.NS
2021-04-30 13:15:00+05:30,5477.2998046875,5492.2001953125,5476,5480,72296,BAJFINANCE.NS
2021-04-30 13:30:00+05:30,5480,5480,5453.25,5455.9501953125,147449,BAJFINANCE.NS
2021-04-30 13:45:00+05:30,5455.9501953125,5469.89990234375,5446.2998046875,5462.9501953125,108990,BAJFINANCE.NS
2021-04-30 14:00:00+05:30,5462.7998046875,5462.7998046875,5430,5440,192228,BAJFINANCE.NS
2021-04-30 14:15:00+05:30,5439,5455,5424.2998046875,5447.10009765625,159001,BAJFINANCE.NS
2021-04-30 14:30:00+05:30,5447.10009765625,5472,5440,5464.7998046875,80214,BAJFINANCE.NS
2021-04-30 14:45:00+05:30,5464.89990234375,5464.9501953125,5441.7001953125,5450.7001953125,82561,BAJFINANCE.NS
2021-04-30 15:00:00+05:30,5451.10009765625,5464,5445.64990234375,5448.5498046875,274314,BAJFINANCE.NS
2021-04-30 15:15:00+05:30,5448.60009765625,5463.75,5445,5449,331106,BAJFINANCE.NS
